order_id,product_id,quantity,unit_price,discount_percent
O0052,P008,6,2.1,0
O0053,P005,5,5.8,10
O0053,P001,4,18.9,0
O0053,P004,7,4.2,5
O0054,P008,1,2.1,0
O0054,P005,4,5.8,5
O0054,P004,5,4.2,15
O0054,P006,8,4.6,10
O0055,P006,8,4.6,0
O0055,P005,5,5.8,0
O0055,P002,4,9.9,0
O0056,P008,5,2.1,15
O0056,P005,2,5.8,0
O0057,P001,3,18.9,0
O0057,P001,1,18.9,10
O0057,P005,3,5.8,15
O0058,P005,8,5.8,5
O0059,P008,2,2.1,0
O0059,P007,8,14.5,0
O0059,P001,3,18.9,0
O0060,P002,7,9.9,10
O0060,P004,7,4.2,5
O0061,P005,1,5.8,10
O0061,P002,4,9.9,15
O0061,P004,5,4.2,15
O0061,P002,3,9.9,0
O0062,P007,8,14.5,15
O0063,P005,5,5.8,15
O0063,P008,2,2.1,15
O0064,P007,2,14.5,10
O0064,P004,3,4.2,0
O0065,P005,5,5.8,5
O0065,P002,8,9.9,15
O0066,P008,2,2.1,10
O0066,P001,7,18.9,15
O0066,P006,5,4.6,0
O0066,P002,4,9.9,15
O0067,P003,8,2.5,10
O0068,P008,2,2.1,5
O0068,P006,7,4.6,0
O0068,P006,2,4.6,0
O0068,P006,7,4.6,15
O0069,P008,2,2.1,0
O0070,P008,7,2.1,0
O0071,P008,1,2.1,0
O0071,P005,3,5.8,0
O0071,P008,8,2.1,0
O0071,P001,4,18.9,15
O0072,P002,4,9.9,0
O0072,P008,2,2.1,15
O0072,P003,8,2.5,15
O0072,P005,5,5.8,5
O0073,P003,7,2.5,0
O0073,P003,2,2.5,0
O0073,P007,6,14.5,10
O0073,P005,1,5.8,0
O0074,P008,6,2.1,0
O0074,P007,8,14.5,0
O0074,P004,4,4.2,10
O0074,P007,4,14.5,5
O0075,P003,8,2.5,0
O0075,P003,6,2.5,0
O0075,P008,2,2.1,10
O0075,P008,1,2.1,15
O0076,P005,6,5.8,10
O0076,P007,2,14.5,0
O0076,P007,6,14.5,15
O0076,P008,1,2.1,10
O0077,P007,2,14.5,15
O0078,P005,1,5.8,0
O0078,P006,1,4.6,0
O0079,P007,3,14.5,0
O0079,P003,2,2.5,10
O0080,P004,8,4.2,15
O0080,P005,8,5.8,0
