order_id,customer_id,date,city,channel,product,quantity,unit_price,promo_code,distance_km,delay_min,rating,comment,is_bad_review
O002739,C0016,2025-10-06 09:19:00,Pairs,  app  , brownie,1,2.5,,0.2805845798517219,7.3,,"Accueil top, commande nickel.",0
O002547,C0018,2026-01-10 17:21:00,nantes,app,Americano,1,2.32,,2.403135400644294,13.8,2,"Horrible expérience, remboursement ?",1
O000045,C0272,20/12/2025 18:01, Paris,,CAPPUCCINO,2,,,0.8639423217030203,-18.2,5,,0
O000290,C0063,07/10/2025 18:14,Paris,app, amreicano,-1,186,STUDENT,3.8178350410679656,33.4,4,,0
O000913,C0216,2025/11/11,Paris, web,sandwich,1,5.62,,1.6063179780584436,3.7,3,"Très bon, je recommanderai 👍",0
O002084,C0238,2026-01-08 18:42:00,Paris ,store ,COOKIE,1,2.08,VIP,0.0,13.7,4,"Livraison rapide, produit conforme.",0
O001361,C0176,11/11/2025 14:39,Paris, app,AMERICANO,1,204,STUDENT,3.2004537181309662,17.3,5,Super americano ! Rapide et délicieux 😍,0
O002896,C0434,28-10-25 20h42,  Paris  , app,mohca,2,3.86,,1.4108340771226648,14.6,4,"Accueil top, commande nickel.",0
O002604,C0185,2025-10-23 18:44:00,nice,store ,Espresso,3,1.6,STUDENT,0.0,18.1,,"J'adore  ce  café,  merci  !  ☕",0
O001227,C0174,2025-10-04 10:22:00,Bordeaux , app,Cappuccino,1,3.47,,3.766998619435757,18.2,4,,0
O000297,C0200,2025-09-28 13:14:00,Mraseille,app,Espresso,-1,185,,0.46801942736745483,12.6,5,"Accueil top, commande nickel.",0
O001242,C0363,13/01/2026 14:16,bordeaux,app,latte,1,"3,80",HAPPYHOUR,1.950129162106045,9.7,5,"Très bon, je recommanderai 👍",0
O001006,C0062,2025-09-25 19:33:00,Lille,Web,cookie ,1,1.48,VIP,4.336050452092432,31.2,5/5,"Parfait, rien à dire.",0
O001666,C0161,2025-11-01 20:55:00,aNntes,store,BROWNIE,1,2.54,,0.0,4.9,2,"Service catastrophique, je ne reviendrai pas.",1
O000747,C0278,10/27/2025 08:46 PM,aPris,App,cookie,1,"1,67",,4.637104076985984,21.0,4/5,"Parfait, rien à dire.",0
O002852,C0386,2025-09-04 12:30:00,  Lyon  ,STORE,MOCHA,1,4.55,,0.0,18.5,4,,0
O000292,C0058,2025-11-09 12:55:00,Paris,,latte ,1,4.17,STUDENT,4.291916469715724,26.1,4/5,Super latte ! Rapide et délicieux 😍,0
O000782,C0271,2025-11-01 10:46:00, Lyon, store,latte ,1,3.95,,0.0,11.1,4,,0
O002145,C0371,2025/09/23,lyon,  app  ,SANDWICH,1,"5,19",WELCOME10,0.866332363952599,7.6,3,"Parfait, rien à dire.",0
O000323,C0388,21/12/2025 12:27,  Toulouse  ,APP,  sandwich  ,2,5.38€,,,18.5,5,,0
O000299,C0004,07-12-25 13h30,Nice ,app,BROWNIE,1,1.88,,4.838321659036965,29.7,5,"J'adore ce café, merci ! ☕",0
O001299,C0232,02/09/2025 17:01,Marseille ,Store,  mocha  ,3,"3,41",WELCOME10,0.0,6.0,1,"Accueil top, commande nickel.",0
O000195,C0022,2025-09-01 13:34:00,Marseille ,app,Espresso,1,,HAPPYHOUR,1.3710208219476094,18.9,5/5,,0
O000064,C0166,05/12/2025 20:59,nantes,app,  latte  ,1,4.08,STUDENT,3.949808198727874,26.8,2,"Commande incorrecte, vraiment nul.",1
O000394,C0251,2025-12-05 10:04:00,  Paris  , web,CAPPUCCINO,1,3.4,STUDENT,5.185980823007997,17.9,4,"Très bon, je recommanderai 👍",0
O000728,C0426,2025-12-09 19:30:00,BORDEAUX,app , tea,1,2.12,VIP,,15.6,4,,0
O001584,C0266,2025/09/20,Paris ,  app  ,capupccino,2,4.19,,1.9754766190685253,24.2,2/5,,1
O001548,C0034,10/10/2025 12:59, Bordeaux,WEB,COOKIE,1,1.86,HAPPYHOUR,1.2519253076109618,22.4,5/5,"Parfait,  rien  à  dire.",0
O002426,C0260,2025-12-08 13:00:00,Toulouse,store, espresso,1,1.78,WELCOME10,0.0,12.4,2/5,,1
O000015,C0296,28/11/2025 14:06,lille, web,latte,1,4.2,HAPPYHOUR,2.291416208589885,13.4,5,"J'adore ce café, merci ! ☕",0
O002568,C0059,2025-11-29 18:29:00,TOULOUSE,APP,Sandwich,2,"5,41",,1.073892181082269,18.7,4,"Parfait, rien à dire.",0
O001601,C0353,2025-11-13 09:58:00,NANETS,  app  ,cookie ,1,"1,24",WELCOME10,3.6601281826503564,15.9,2,Déçue… cookie froid et pas bon 😡,1
O001091,C0064,2025-11-23 09:00:00,Marseille,web, cappuccino,1,2.74,,1.9883077512136134,18.4,4,"J'adore ce café, merci ! ☕",0
O002112,C0359,23/12/2025 20:27,Paris,app,  cookie  ,1,1.27,STUDENT,3.8645645059119578,17.8,5,"J'adore ce café, merci ! ☕",0
O000204,C0238,2025-09-11 18:16:00,Paris,stroe,Sandwich,2,5.62,,0.0,19.2,,"Accueil top, commande nickel. !!!",0
O002419,C0048,25/12/2025 19:48,Lille,STORE,cookie,1,2.06,,0.0,10.4,5,"J'adore ce café, merci ! ☕",0
O000153,C0395,15/09/2025 18:13,PARIS,web,Cookie,2,"1,58",WELCOME10,2.5170299637109146,26.6,4,"Parfait, rien à dire.",0
O002902,C0429,2025-11-09 18:23:00,lyon,store ,americano ,1,2.26,,0.0,13.2,4,"Livraison rapide, produit conforme.",0
O001360,C0395,2025-12-17 20:32:00,Paris,web ,mocha ,1,,STUDENT,3.217816325732018,11.6,4,Super mocha ! Rapide et délicieux 😍,0
O000773,C0183,28/10/2025 18:10, Nantes,APP,cappuccino ,1,,,1.803517560646161,18.6,5,"Très bon, je recommanderai 👍",0
O002679,C0034,2025-11-15 09:15:00,Bordeaux ,Web,latte,2,3.44,STUDENT,2.3178674770864354,10.8,4,"Livraison rapide, produit conforme.",0
O001002,C0220,2025/12/29,Nice,store,sandwich ,4,,,0.0,4.5,5,"Accueil top, commande nickel.",0
O000719,C0372,2025-09-22 17:03:00,bordeaux,app,Cookie,1,1.57€,,3.891518187614562,10.8,5,"Très bon, je recommanderai 👍",0
O000613,C0113,2026-01-11 12:32:00,Lyon,s tore,Latte,3,3.95,,0.0,12.2,5,"Accueil top, commande nickel.",0
O000843,C0294,21/10/2025 10:59, Bordeaux, web,ESPRESSO,2,1.98€,,2.771875019750862,14.3,1,"Commande incorrecte, vraiment nul. !!!",1
O000267,C0429,2025-12-12 12:59:00,YLON,  store  ,cappuccino ,4,"3,58",,0.0,8.8,5,"Livraison rapide, produit conforme.",0
O000052,C0412,14/10/2025 17:16,Nice ,app,BORWNIE,1,2.19,WELCOME10,0.63970766186313,8.3,3,"Très bon, je recommanderai 👍",0
O001196,C0117,2025-12-19 18:24:00,marseille,app, cookie,1,1.53,WELCOME10,3.2177569166537867,22.2,5,,0
O001271,C0009,2025-11-17 14:59:00,  Marseille  ,app,  espresso  ,1,1.8,,,11.1,4,"Accueil top, commande nickel.",0
O001492,C0130,2026-01-01 17:24:00,Paris , app,latte,6,3.87,HAPPYHOUR,0.6512599860465448,14.9,4,"J'adore ce café, merci ! ☕",0
O001583,C0442,2025-12-06 09:29:00,,WEB,brownie,1,"3,13",,1.467625510397314,9.3,4,super brownie ! rapide et délicieux 😍,0
O000522,C0015,2025-10-30 12:04:00,PARIS,  store  ,latte,2,3.87€,,0.0,9.4,5,"Livraison rapide, produit conforme.",0
O001695,C0232,2025-11-14 14:19:00,MARSEILLE,  store  , tea,1,2.56,WELCOME10,0.0,9.8,5,"J'adore ce café, merci ! ☕",0
O002664,C0044,2025-12-22 20:03:00,Nice,app,espresso,3,2.18,HAPPYHOUR,0.4596765576192493,13.3,4,"Parfait, rien à dire.",0
O002749,C0120,2026-01-11 10:45:00,Paris,  app  ,Mocha,1,4.16,,2.3283681258725517,20.9,5,Super mocha ! Rapide et délicieux 😍,0
O001922,C0180,22/09/2025 19:23,Lille,app,Americano,3,2.77,,1.265805340195776,-21.0,4,"Très bon, je recommanderai 👍",0
O000103,C0182,2025/10/22,Paris,app ,Latte,4,4.19€,STUDENT,0.7852481754220866,9.0,1/5,"Livraison rapide, produit conforme. !!!",0
O000696,C0298,2025/09/23,Nantes,store,latte,2,3.8,WELCOME10,0.0,14.8,1,,1
O002333,C0084,30-12-25 20h07,PARIS,STORE,tea ,1,2.1,,0.0,4.5,4,"J'adore ce café, merci ! ☕",0
O002725,C0046,2025-11-17 19:25:00,PARIS,app,,1,3.53,,3.940985735557957,25.8,3,"Accueil top, commande nickel.",0
O002273,C0267,2025-12-31 18:57:00,LILLE, store,sandwich,1,5.49,WELCOME10,0.0,15.0,4,"Très bon, je recommanderai 👍",0
O002483,C0230,2025-10-22 18:42:00,  Nice  ,app,TEA,1,2.51,WELCOME10,1.9811624000828139,-17.7,5,"Accueil top, commande nickel.",0
O001843,C0232,2025/10/25,Marseille ,s tore,Brownie,3,2.35,,0.0,9.7,4/5,,0
O001831,C0302,2025-09-11 19:03:00,paris,stroe, cappuccino,2,353,,0.0,17.3,5,Super cappuccino ! Rapide et délicieux 😍,0
O000795,C0399,2025-10-06 18:51:00,  Nantes  ,App,Sandwich,2,5.41,,2.8782284724632663,19.1,5,"Très bon, je recommanderai 👍 !!!",0
O001821,C0093,2025-11-09 09:38:00,  Toulouse  ,Store, mocha,1,3.84,,0.0,9.4,2,"Commande incorrecte, vraiment nul.",1
O002002,C0354,2025-11-10 17:55:00,nice,store,espresso,1,1.77,,,6.1,5,"J'adore ce café, merci ! ☕",0
O000145,C0017,2025-11-02 10:17:00,paris, web,latte,2,4.02,VIP,2.943368315144132,6.8,4,,0
O002526,C0442,13/01/2026 18:42,PARIS,web,  cappuccino  ,3,"3,38",STUDENT,25.175024892759748,71.9,5,"Parfait, rien à dire.",0
O001331,C0307,07/01/2026 17:56,paris,app,cappuccino,1,3.76,,87.54113150567855,161.6,3,"Pas bon, trop sucré / trop amer.",1
O002478,C0117,2025-11-05 18:39:00,Marseille ,App, mocha,1,4.53,WELCOME10,2.0967181244268267,22.8,5,"Livraison rapide, produit conforme.",0
O002882,C0381,2025-09-23 20:19:00,  Paris  ,,espresso ,2,1.68,,0.0,5.6,5/5,"Parfait, rien à dire.",0
O000322,C0411,2025/12/31,BORDEAUX,Web, cookie,1,1.35,WELCOME10,1.3662236048775647,21.2,4,"Parfait, rien à dire.",0
O001262,C0019,24/12/2025 18:58,  Paris  ,  app  ,americano,1,2.24,,0.8703615383820501,20.6,5,"J'adore ce café, merci ! ☕",0
O002415,C0293,2025-10-20 20:11:00,Paris,app,OMCHA,3,4.19,WELCOME10,2.380294939040313,3.5,1,,0
O001270,C0195,2026/01/08,Toulouse ,app , espresso,2,1.81,STUDENT,0.349874564560578,7.4,4,"Très bon, je recommanderai 👍",0
O001761,C0019,31-12-25 17h12,Paris ,app, cookie,2,"1,58",WELCOME10,0.4171145988145862,16.3,4,,0
O000417,C0096,2025-12-16 08:44:00,Marseille, web, tea,0,2.54,,1.5856633052635674,15.0,4,,0
O002632,C0371,03/10/2025 10:55,Lyon ,app ,  americano  ,1,2.2,,,-8.3,4,"J'adore ce café, merci ! ☕",0
O002292,C0224,2025-11-02 09:30:00,Nantes,store ,COOKIE,1,1.96,WELCOME10,0.0,10.0,,"Très bon, je recommanderai 👍",0
O000175,C0113,2025-09-22 18:42:00, Lyon, store,espresso,1,2.23,,0.0,12.8,,Super espresso ! Rapide et délicieux 😍 !!!,0
O001726,C0382,08/12/2025 20:21,  Bordeaux  ,App,  espresso  ,1,2.00€,,2.23984170200278,17.0,4,"Livraison rapide, produit conforme.",0
O002176,C0247,2025-11-16 13:32:00,  Paris  ,APP,Sandwich,2,5.14,,2.619799876683429,19.2,5,"Accueil top, commande nickel. !!!",0
O000046,C0115,10/12/2025 13:18,Bordeaux,store,espresso,1,1.9,STUDENT,0.0,11.1,4/5,Super espresso ! Rapide et délicieux 😍,0
O000686,C0242,09/02/2025 06:24 PM, aPris, app, americano,1,2.63,,1.4539352139973316,13.4,4,"Livraison rapide, produit conforme.",0
O001608,C0284,2025-09-22 17:35:00,paris,Store, cappuccino,1,4.29,,0.0,10.5,4,,0
O001232,C0308,2025/09/11,Marseille ,app,Tea,3,2.91,WELCOME10,2.67645268329955,16.0,4,"Livraison rapide, produit conforme.",0
O000863,C0311,2025-11-02 18:46:00,Bordeaux,  store  ,latte,1,3.4,,0.0,129.0,1,"Horrible expérience, remboursement ?",1
O001966,C0281,2025-09-28 13:40:00,  Bordeaux  ,store,sandwich ,1,5.61€,,0.0,9.5,5,"Livraison rapide, produit conforme.",0
O000332,C0296,2025-12-19 13:25:00,L ille,,espresso,1,1.94,WELCOME10,5.650559215850822,20.4,4,,0
O000094,C0398,2025-12-18 10:47:00,  Paris  ,store,ocokie ,1,"1,65",STUDENT,0.0,7.4,5/5,"Parfait, rien à dire.",0
O001642,C0130,01-11-25 17h20,  Paris  ,App,sandwich,1,5.11,,3.9922742191245635,13.9,5,"Très bon, je recommanderai 👍",0
O002987,C0416,12/28/2025 01:33 PM,  Paris  ,app,latte,3,3.81,WELCOME10,2.2130080093452333,21.5,4,"J'adore ce café, merci ! ☕",0
O000507,C0448,2025-11-02 12:35:00,Nice ,app,Tea,3,"2,57",,1.8517898948338127,25.3,5,"Accueil top, commande nickel.",0
O002910,C0268,31/10/2025 13:26,Lyon,App,CAPPUCCINO,0,3.32€,,1.3975943074484762,18.4,5,"Très bon, je recommanderai 👍",0
O002046,C0081,16/10/2025 13:55,Nantes, web,brownie,1,,,3.2425544708048535,18.9,5,"Parfait, rien à dire.",0
O000496,C0286,2025/10/11,Paris ,store,Espresso,1,2.25,HAPPYHOUR,0.0,19.0,5,,0
O002133,C0415,2025-11-13 17:59:00,Paris,  app  ,  brownie  ,1,2.18,,85.45893395704586,165.9,2,"Trop long, 166 min d'attente, inadmissible. !!!",1
O000001,C0317,12-12-25 14h04,yLon ,,brownie,2,"2,47",,3.0383389231222906,11.2,4,"Livraison rapide, produit conforme.",0
O000315,C0149,09/22/2025 10:19 AM,Paris,Web,americano ,-1,2.75,VIP,0.9583925298202027,16.7,4,,0
O001273,C0203,14/12/2025 13:33,Nantes,app,Cookie,3,1.65,HAPPYHOUR,1.6416814482302902,22.8,5,Super cookie ! Rapide et délicieux 😍,0
O001942,C0386,28-12-25 17h43,Lyon,Store, espresso,3,2.43€,,0.0,2.1,4/5,"Très bon, je recommanderai 👍",0
O002968,C0249,29/11/2025 10:04,Marseille , store,cookie,1,"1,88",,0.0,3.5,1,"Très bon, je recommanderai 👍",0
O001317,C0320,2025/09/24,Prais ,app , mocha,1,4.66,HAPPYHOUR,1.3013079490173982,17.4,5/5,Super mocha ! Rapide et délicieux 😍,0
O000756,C0148,2025/10/19,Paris,app,  cookie  ,3,"1,89",,1.2765862219800248,14.9,4,"Très bon, je recommanderai 👍",0
O001771,C0152,2025-09-15 20:27:00,  Marseille  ,app ,  omcha  ,3,3.9,VIP,1.8669493485368371,9.4,4,"parfait, rien à dire.",0
O001201,C0292,2026-01-11 12:46:00,Paris , app,espersso,1,2.36,HAPPYHOUR,2.528825478756552,23.0,5,"Livraison rapide, produit conforme.",0
O002175,C0321,2025/12/13,,App,americano,2,3.06,,3.3869668943138964,21.8,,"Parfait, rien à dire. !!!",0
O001992,C0248,2025/10/30, Marseille,web ,,1,3.52,,,16.5,4,"J'adore ce café, merci ! ☕",0
O000880,C0280,2025/09/07,Paris,WEB,mocha,1,4.19,HAPPYHOUR,8.270632741619302,26.4,5,"J'adore ce café, merci ! ☕",0
O000766,C0428,2025-09-13 17:31:00,LYON,app , latte,1,3.75,,2.5478362683359035,14.3,5,"Accueil top, commande nickel.",0
O000928,C0207,2025-09-14 13:37:00,  Lyon  ,,sandwich,1,5.38,VIP,2.791355937033413,20.9,,"Livraison rapide, produit conforme.",0
O002378,C0057,25/12/2025 12:34,bordeaux,app ,  brownie  ,3,2.33,WELCOME10,2.28946824020628,22.0,5,"j'adore ce café, merci ! ☕",0
O001375,C0094,2025-09-12 18:46:00,Paris,Store, americano,1,2.67€,,0.0,17.6,3,"Livraison rapide, produit conforme.",0
O001815,C0378,24/11/2025 13:05,Lyon ,app ,AMERICANO,2,2.38€,HAPPYHOUR,6.592918030719016,33.3,3,Super americano ! Rapide et délicieux 😍,0
O001799,C0183,2025/09/01,Nantes , app,mocha,3,4.17,STUDENT,2.7268371485457945,15.2,4,"Livraison rapide, produit conforme.",0
O000930,C0018,2025/12/04,Nantes,app ,  latte  ,2,389,,1.1216318606265114,21.1,4/5,"Parfait, rien à dire.",0
O000437,C0082,30/10/2025 17:19, Nantes,  app  ,mocha,1,4.07€,,7.173602945325925,24.0,4,"parfait, rien à dire.",0
O000197,C0298,2025-10-23 17:42:00, Nantes,Store,  cappuccino  ,1,3.29,WELCOME10,0.0,13.2,4,"Livraison rapide, produit conforme.",0
O001763,C0311,16/10/2025 10:10,Bordeaux,store ,espresso ,1,1.64,WELCOME10,0.0,2.2,5/5,"Très bon, je recommanderai 👍",0
O001065,C0276,2025-09-12 18:56:00,Bordeaux,Store,mocha,2,4.36,HAPPYHOUR,0.0,15.8,5,"Très bon, je recommanderai 👍",0
O002343,C0061,2025-10-03 17:56:00,Paris ,  app  ,BROWNIE,1,2.49€,,1.9275340483686774,11.4,4,"Accueil top, commande nickel.",0
O002529,C0438,03/01/2026 19:47,BOREDAUX,app, tea,1,,,1.1320722533935386,22.7,4,"Parfait, rien à dire. !!!",0
O001269,C0326,2025/10/19,Paris,App,americano ,1,2.57,STUDENT,4.491249068674287,19.9,,"Livraison rapide, produit conforme.",0
O002324,C0300,2026/01/03,lyon,App, cookie,2,1.5,HAPPYHOUR,2.3921783849443576,22.9,1,"Parfait, rien à dire.",0
O002780,C0007,2026/01/03,Paris ,app ,COOKIE,2,1.78€,,4.843912634853149,21.0,2,"Commande  incorrecte,  vraiment  nul.",1
O002226,C0194,2026-01-04 09:33:00,Paris,APP,americano,1,"2,50",HAPPYHOUR,0.7525866834245413,14.4,5,"Livraison rapide, produit conforme.",0
O000451,C0290,16-12-25 19h10,paris,  app  ,brownie,2,"2,32",WELCOME10,1.277110093122223,21.4,,,0
O002165,C0285,2025-10-20 19:41:00,Touloues ,app,brownie ,1,2.45,,,21.7,4,Super brownie ! Rapide et délicieux 😍,0
O002373,C0308,07/01/2026 12:56,marseille,App,Mocha,1,4.19,,4.869603282395807,26.3,5,Super mocha ! Rapide et délicieux 😍,0
O002013,C0130,2025-09-13 14:52:00,PARIS,App,latte ,1,,,6.5840899628821825,21.0,5,,0
O000271,C0076,23/12/2025 17:02,  Paris  ,APP,sandwich,2,5.53,,1.1496993123067831,12.9,4,"Accueil top, commande nickel.",0
O001841,C0187,2025-09-25 17:11:00,Marseille,,BROWNIE,2,2.37,HAPPYHOUR,0.0,13.8,,,0
O002935,C0143,2025-10-03 08:05:00,  Paris  ,store ,Sandwich,1,5.61,,0.0,6.5,1,"J'adore ce café, merci ! ☕",0
O000979,C0283,2025-09-14 20:10:00,MARSEILLE,App,  cookie  ,1,1.49,,0.4494665624142152,10.7,4,"Parfait, rien à dire.",0
O002167,C0144,2025-12-20 14:22:00,lyon,  web  ,COOKIE,1,1.23,,1.5810451060844397,12.1,4,"Parfait, rien à dire.",0
O000355,C0253,2025-10-24 13:57:00,Pairs,web , s andwich  ,1,5.75,HAPPYHOUR,1.661325756995609,20.4,4/5,"Livraison rapide, produit conforme.",0
O001877,C0244,2025-10-20 12:16:00,MARSELILE,app ,Latte,1,3.81,WELCOME10,0.2652589333798588,12.8,4,"Accueil top, commande nickel.",0
O000185,C0002,21/09/2025 14:10,PARIS,app,cappuccino ,3,3.97€,STUDENT,2.7520158034646243,13.2,1,Super cappuccino ! Rapide et délicieux 😍,0
O002745,C0289,16-12-25 19h45, Llile,  web  , latte,1,4.04,,13.183795693167205,-46.4,3,"J'adore ce café, merci ! ☕",0
O001615,C0401,05/12/2025 19:11,  Paris  ,App,AMERICANO,3,"2,56",,1.656431291445005,16.6,5,"Livraison rapide, produit conforme.",0
O002760,C0074,2025-10-29 17:18:00,Lyon , store,  cookie  ,1,1.91€,,0.0,6.5,1,"Accueil top, commande nickel.",0
O001707,C0294,24/11/2025 20:55, Bordeaux,web,latte ,3,3.31,,1.755764257631576,15.2,5,"Livraison rapide, produit conforme.",0
O001862,C0220,23/12/2025 19:51,nice,store ,cookie,1,1.59,,0.0,16.1,5,"Accueil top, commande nickel.",0
O000247,C0002,09/11/2025 17:45,Paris ,App,espresso,2,2.42,,2.078059085005474,13.0,5,,0
O000556,C0313,11/10/2025 07:52 PM,bordeaux,app ,cookie,1,"2,04",,2.770115738745056,23.6,5,Super cookie ! Rapide et délicieux 😍,0
O001753,C0041,2026-01-12 13:23:00,nice,Store,ESPRESSO,1,2.16,STUDENT,0.0,8.6,3,,0
O001365,C0161,2025-10-20 18:07:00,NANTES,store ,americano ,2,2.72,,0.0,12.5,4,"J'adore ce café, merci ! ☕",0
O000068,C0034,18/10/2025 19:27,bordeaux,WEB, americano,2,2.38,,2.9937533194602515,28.6,5,"j'adore ce café, merci ! ☕",0
O002619,C0222,2025-09-03 17:36:00,LYON,  web  , cookie,1,1.25,,4.899142931790602,17.7,4,"J'adore ce café, merci ! ☕",0
O002285,C0158,2025-12-15 12:40:00,Llile,Web,AMERICANO,1,"2,28",,5.784600755305157,28.9,4,"accueil top, commande nickel.",0
O000533,C0020,2025/10/11,Lille,app,Cappuccino,1,"3,64",WELCOME10,2.9924813739022227,11.4,5,"Livraison rapide, produit conforme.",0
O002874,C0428,2025-10-05 12:13:00,Lyon,app,latte,1,3.92,VIP,2.32767589008316,25.4,4,"Très bon, je recommanderai 👍",0
O002706,C0295,2025-10-26 18:44:00,Lyon ,app,cookie,1,176,,1.3206873376770283,13.8,2,,1
O001503,C0308,05/01/2026 20:41,Marseille,App,LATTE,1,3.81,,2.147250337599779,20.0,5,"Parfait, rien à dire.",0
O000762,C0332,2025-09-23 09:59:00,nantes,  app  ,ESPRESSO,1,,,4.644787543221928,11.6,4,"J'adore ce café, merci ! ☕",0
O002753,C0389,2025/12/17,Lyon ,APP,cookie,5,1.50€,,0.2738665862413861,19.6,5,Super cookie ! Rapide et délicieux 😍,0
O001212,C0301,2025-10-29 17:35:00,Paris,, cookie,-1,2.01,,0.3762337639773354,9.5,4,"J'adore ce café, merci ! ☕",0
O002244,C0179,2025/11/06, Paris,APP,latte ,2,4.02,,5.050697691931641,21.0,4/5,"Parfait, rien à dire.",0
O001794,C0063,2025-12-15 12:33:00, Paris,  app  ,brownie,1,2.46,WELCOME10,1.8745816871880745,21.7,4,,0
O000536,C0115,2026/01/08,BORDEAUX,store,  americano  ,2,,,,-10.1,5,"Accueil  top,  commande  nickel.",0
O001747,C0268,2026-01-08 20:42:00,LYON,App,cappuccino,1,3.44,,3.437183791070108,11.3,5,"Accueil top, commande nickel.",0
O000464,C0033,2025-11-26 20:12:00, Lyon,web ,espresso ,1,2.06,STUDENT,2.678485943930242,14.0,,"J'adore ce café, merci ! ☕",0
O002678,C0149,01-10-25 12h07,PARIS,  web  ,Espresso,1,2.21,WELCOME10,5.035328568851516,20.6,5,"Livraison rapide, produit conforme.",0
O001840,C0078,09/01/2026 13:50,Paris ,STORE,COOKIE,1,"2,08",,0.0,13.7,4/5,"Livraison rapide, produit conforme.",0
O002863,C0062,2025-09-02 17:18:00, Lille,web ,TEA,1,2.78,,2.373287542736252,14.9,2,,1
O000125,C0381,22/10/2025 19:16,Paris ,store , americano,3,2.12,WELCOME10,0.0,10.1,,,1
O000179,C0205,2025-10-27 19:12:00,,APP, espresso,1,"1,91",,4.9270584273864335,26.4,3,"Trop long, 26 min d'attente, inadmissible.",1
O000193,C0095,2025-12-09 19:42:00,  Marseille  ,APP,latte,2,3.58,VIP,3.1625874392134365,27.9,4,"J'adore ce café, merci ! ☕",0
O002308,C0148,2025-11-26 20:50:00,paris, app,  sandwich  ,1,5.63,WELCOME10,2.6531496950039544,17.1,4,"Parfait, rien à dire.",0
O001430,C0062,2025-10-09 12:55:00,Lille , web,  tea  ,1,2.6,WELCOME10,1.9186300851296842,133.8,2,"Trop long, 134 min d'attente, inadmissible.",1
O001692,C0061,2025-10-02 10:58:00,Prais,  app  ,cappcucino,1,"3,41",HAPPYHOUR,3.3292929466141405,17.1,5,,0
O000742,C0022,2025-12-22 20:17:00, Marseille,app,  brownie  ,3,1.90€,WELCOME10,4.20437023640786,23.3,4/5,,0
O001035,C0247,2026-01-04 12:06:00,paris, app, latte,2,3.69,,5.461945979969159,30.3,5,"Accueil top, commande nickel.",0
O001967,C0160,2025-10-17 17:42:00, Paris,web,mocha,1,4.27,,4.247115427186331,15.6,5,"J'adore ce café, merci ! ☕",0
O000479,C0302,09/12/2025 08:13,Paris,STORE,cappcucino,1,3.99,,0.0,8.4,4,"Très bon, je recommanderai 👍",0
O001028,C0400,2025-12-20 20:35:00,lyon, app,Americano,2,2.65,,2.59748084064663,17.7,2,,1
