order_id,order_datetime,store,channel,payment_method,member,product,category,quantity,unit_price,discount_rate,total_amount,customer_rating,barista,promo_code
CS-0108,2026-01-10 10:40:00,Lille Centre,à emporter,carte,oui,Americano,Boisson chaude,2,2.8,0.05,5.32,4.0,Nora,MORNING10
CS-0226,2026-01-10 17:20:00,Lille Centre,sur place,carte,oui,Thé vert,Boisson chaude,1,3.2,0.0,3.2,,Nora,MORNING10
CS-0122,2026-01-11 11:15:00,Lille Centre,sur place,carte,non,Banana bread,Pâtisserie,1,3.4,0.0,3.4,,Marco,
CS-0102,2026-01-12 12:05:00,Lille Gare,sur place,carte,oui,Chai latte,Boisson chaude,1,4.3,0.15,3.65,,Samir,
CS-0033,2026-01-12 13:00:00,Lomme,livraison,carte,oui,Toast avocat,Sandwich,2,7.5,0.0,15.0,4.0,Léa,
CS-0131,2026-01-12 13:55:00,Lille Centre,à emporter,carte,non,Latte,Boisson chaude,1,4.1,0.0,4.1,3.0,Nora,
CS-0016,2026-01-13 07:05:00,Lille Centre,à emporter,carte,oui,Espresso,Boisson chaude,1,2.2,0.05,2.09,4.0,Samir,MORNING10
CS-0140,2026-01-13 13:00:00,Lille Centre,sur place,espèces,non,Iced latte,Boisson froide,1,4.8,0.0,4.8,,Léa,
CS-0192,2026-01-13 13:55:00,Lille Gare,sur place,carte,non,Latte,Boisson chaude,1,4.1,0.0,4.1,,Samir,
CS-0195,2026-01-13 14:45:00,Lille Centre,à emporter,carte,oui,Croissant,Pâtisserie,1,2.1,0.1,1.89,5.0,Nora,
CS-0172,2026-01-14 10:35:00,Lille Gare,sur place,carte,non,Muffin myrtille,Pâtisserie,1,3.2,0.0,3.2,,Léa,
CS-0258,2026-01-14 16:45:00,Lille Centre,sur place,carte,oui,Cappuccino,Boisson chaude,1,3.7,0.0,3.7,3.0,Léa,MORNING10
CS-0329,2026-01-15 14:55:00,Lille Centre,livraison,carte,non,Chai latte,Boisson chaude,1,4.3,0.0,4.3,4.0,Nora,
CS-0355,2026-01-15 17:35:00,Lille Centre,à emporter,app,oui,Cold brew,Boisson froide,1,4.5,0.05,4.27,5.0,Léa,
CS-0272,2026-01-16 09:05:00,Lomme,à emporter,carte,oui,Cookie chocolat,Pâtisserie,1,2.9,0.1,2.61,,Marco,
CS-0162,2026-01-16 10:00:00,Lille Centre,sur place,espèces,non,Cold brew,Boisson froide,2,4.5,0.0,9.0,4.0,Inès,MORNING10
CS-0358,2026-01-16 16:35:00,Lomme,sur place,carte,non,Thé vert,Boisson chaude,1,3.2,0.0,3.2,,Samir,
CS-0217,2026-01-16 17:35:00,Lille Centre,à emporter,carte,oui,Latte,Boisson chaude,1,4.1,0.0,4.1,,Samir,
CS-0348,2026-01-17 08:15:00,Lille Centre,à emporter,espèces,oui,Croissant,Pâtisserie,1,2.1,0.0,2.1,3.0,Marco,MORNING10
CS-0048,2026-01-17 08:50:00,Lille Centre,à emporter,espèces,non,Cold brew,Boisson froide,2,4.5,0.0,9.0,5.0,Marco,
CS-0096,2026-01-18 09:15:00,Lille Centre,à emporter,carte,non,Iced latte,Boisson froide,1,4.8,0.0,4.8,4.0,Léa,
CS-0042,2026-01-18 11:40:00,Lomme,à emporter,carte,oui,Bagel veggie,Sandwich,1,6.9,0.0,6.9,,Samir,
CS-0322,2026-01-19 11:30:00,Lille Gare,sur place,carte,non,Croissant,Pâtisserie,2,2.1,0.0,4.2,,Marco,
CS-0350,2026-01-19 14:20:00,Lomme,à emporter,carte,non,Cookie chocolat,Pâtisserie,1,2.9,0.0,2.9,4.0,Léa,
CS-0341,2026-01-19 15:00:00,Lille Gare,à emporter,carte,non,Toast avocat,Sandwich,2,7.5,0.0,15.0,,Inès,COOKIELOVE
CS-0144,2026-01-20 11:20:00,Lomme,sur place,carte,non,Latte,Boisson chaude,1,4.1,0.0,4.1,5.0,Nora,
CS-0265,2026-01-20 12:35:00,Lille Centre,sur place,app,oui,Iced latte,Boisson froide,3,4.8,0.0,14.4,,Léa,
CS-0216,2026-01-20 13:50:00,Lille Centre,à emporter,carte,oui,Iced latte,Boisson froide,1,4.8,0.05,4.56,,Nora,
CS-0193,2026-01-21 08:30:00,Lille Centre,livraison,espèces,oui,Latte,Boisson chaude,2,4.1,0.0,8.2,5.0,Samir,
CS-0259,2026-01-21 09:35:00,Lille Gare,à emporter,carte,oui,Thé vert,Boisson chaude,1,3.2,0.0,3.2,,Nora,MORNING10
CS-0113,2026-01-22 12:25:00,Lille Centre,sur place,espèces,oui,Latte,Boisson chaude,1,4.1,0.0,4.1,,Samir,
CS-0182,2026-01-23 08:30:00,Lomme,sur place,app,oui,Croissant,Pâtisserie,1,2.1,0.1,1.89,,Léa,
CS-0312,2026-01-23 09:15:00,Lille Gare,sur place,carte,oui,Bagel veggie,Sandwich,1,6.9,0.05,6.55,5.0,Inès,COOKIELOVE
CS-0076,2026-01-23 13:10:00,Lille Gare,à emporter,espèces,non,Jus orange,Boisson froide,1,3.9,0.0,3.9,5.0,Inès,
CS-0087,2026-01-23 13:10:00,Lille Centre,livraison,carte,oui,Espresso,Boisson chaude,1,2.2,0.0,2.2,,Inès,COOKIELOVE
CS-0213,2026-01-24 08:40:00,Lille Centre,sur place,espèces,non,Banana bread,Pâtisserie,1,3.4,0.0,3.4,4.0,Inès,
CS-0075,2026-01-24 09:15:00,Lomme,à emporter,app,non,Iced latte,Boisson froide,1,4.8,0.0,4.8,,Inès,
CS-0077,2026-01-24 12:15:00,Lille Centre,livraison,carte,oui,Thé vert,Boisson chaude,2,3.2,0.05,6.08,,Marco,
CS-0088,2026-01-24 15:35:00,Lille Centre,sur place,espèces,oui,Cappuccino,Boisson chaude,1,3.7,0.0,3.7,4.0,Inès,
CS-0269,2026-01-25 08:55:00,Lille Centre,sur place,carte,non,Croissant,Pâtisserie,1,2.1,0.0,2.1,,Samir,
CS-0014,2026-01-25 10:05:00,Lille Gare,sur place,carte,oui,Cold brew,Boisson froide,2,4.5,0.0,9.0,4.0,Nora,
CS-0103,2026-01-25 11:55:00,Lille Centre,à emporter,app,non,Chai latte,Boisson chaude,1,4.3,0.0,4.3,4.0,Nora,
CS-0171,2026-01-25 17:15:00,Lille Gare,à emporter,carte,oui,Cappuccino,Boisson chaude,1,3.7,0.0,3.7,,Inès,
CS-0299,2026-01-26 09:25:00,Lille Gare,à emporter,carte,non,Muffin myrtille,Pâtisserie,1,3.2,0.0,3.2,,Nora,
CS-0145,2026-01-26 13:10:00,Lille Centre,à emporter,carte,non,Cappuccino,Boisson chaude,1,3.7,0.0,3.7,,Inès,
CS-0152,2026-01-27 07:25:00,Lille Centre,sur place,carte,non,Americano,Boisson chaude,1,2.8,0.0,2.8,,Léa,COOKIELOVE
CS-0116,2026-01-27 08:50:00,Lille Centre,à emporter,carte,non,Toast avocat,Sandwich,1,7.5,0.0,7.5,4.0,Léa,
CS-0081,2026-01-27 11:45:00,Lille Centre,à emporter,app,oui,Cappuccino,Boisson chaude,1,3.7,0.1,3.33,,Léa,
CS-0005,2026-01-28 12:20:00,Lille Centre,à emporter,carte,oui,Thé vert,Boisson chaude,2,3.2,0.0,6.4,,Marco,
CS-0093,2026-01-29 07:05:00,Lille Centre,sur place,carte,oui,Banana bread,Pâtisserie,1,3.4,0.0,3.4,,Marco,MORNING10
CS-0336,2026-01-29 10:30:00,Lille Centre,sur place,carte,non,Croissant,Pâtisserie,1,2.1,0.0,2.1,4.0,Inès,
CS-0121,2026-01-29 12:55:00,Lille Centre,à emporter,carte,non,Croissant,Pâtisserie,1,2.1,0.0,2.1,4.0,Samir,COOKIELOVE
CS-0291,2026-01-29 13:10:00,Lille Centre,sur place,espèces,oui,Cookie chocolat,Pâtisserie,1,2.9,0.05,2.75,,Nora,
CS-0290,2026-01-29 15:15:00,Lille Centre,à emporter,carte,oui,Americano,Boisson chaude,1,2.8,0.0,2.8,,Samir,
CS-0277,2026-01-30 15:35:00,Lille Centre,sur place,carte,oui,Cappuccino,Boisson chaude,1,3.7,0.0,3.7,3.0,Marco,MORNING10
CS-0055,2026-01-31 10:15:00,Lille Gare,à emporter,app,non,Bagel veggie,Sandwich,1,6.9,0.0,6.9,5.0,Léa,
CS-0183,2026-02-01 17:15:00,Lomme,sur place,espèces,non,Latte,Boisson chaude,1,4.1,0.0,4.1,5.0,Léa,
CS-0170,2026-02-02 07:40:00,Lille Gare,à emporter,carte,oui,Chai latte,Boisson chaude,1,4.3,0.0,4.3,,Nora,
CS-0164,2026-02-02 08:05:00,Lille Centre,à emporter,espèces,non,Espresso,Boisson chaude,2,2.2,0.0,4.4,,Marco,
CS-0351,2026-02-02 09:55:00,Lomme,sur place,carte,non,Cookie chocolat,Pâtisserie,1,2.9,0.0,2.9,,Marco,
CS-0256,2026-02-03 12:10:00,Lille Centre,sur place,espèces,non,Cookie chocolat,Pâtisserie,1,2.9,0.0,2.9,,Marco,
CS-0330,2026-02-03 14:20:00,Lomme,sur place,carte,non,Cappuccino,Boisson chaude,1,3.7,0.0,3.7,4.0,Samir,
CS-0244,2026-02-05 07:35:00,Lomme,sur place,carte,non,Americano,Boisson chaude,1,2.8,0.0,2.8,4.0,Samir,
CS-0069,2026-02-05 12:30:00,Lille Centre,sur place,espèces,oui,Bagel veggie,Sandwich,1,6.9,0.15,5.87,,Nora,
CS-0112,2026-02-05 15:10:00,Lomme,sur place,espèces,non,Muffin myrtille,Pâtisserie,2,3.2,0.0,6.4,5.0,Marco,
CS-0008,2026-02-06 09:25:00,Lille Centre,sur place,carte,non,Iced latte,Boisson froide,1,4.8,0.0,4.8,,Léa,MORNING10
CS-0224,2026-02-06 10:55:00,Lille Centre,à emporter,carte,non,Cookie chocolat,Pâtisserie,1,2.9,0.0,2.9,5.0,Léa,
CS-0089,2026-02-06 12:50:00,Lille Gare,à emporter,carte,non,Toast avocat,Sandwich,1,7.5,0.0,7.5,,Samir,
CS-0230,2026-02-06 14:05:00,Lille Centre,à emporter,carte,non,Cold brew,Boisson froide,1,4.5,0.0,4.5,,Samir,MORNING10
CS-0323,2026-02-08 10:00:00,Lille Centre,sur place,carte,oui,Croissant,Pâtisserie,1,2.1,0.0,2.1,4.0,Marco,MORNING10
CS-0160,2026-02-08 12:00:00,Lille Centre,à emporter,carte,non,Espresso,Boisson chaude,1,2.2,0.0,2.2,,Nora,
CS-0106,2026-02-08 13:00:00,Lomme,sur place,carte,non,Cookie chocolat,Pâtisserie,1,2.9,0.0,2.9,,Marco,
CS-0020,2026-02-09 09:15:00,Lille Centre,sur place,carte,non,Croissant,Pâtisserie,1,2.1,0.0,2.1,3.0,Nora,
CS-0220,2026-02-09 10:45:00,Lille Centre,sur place,carte,non,Bagel veggie,Sandwich,1,6.9,0.0,6.9,,Nora,
CS-0304,2026-02-09 18:25:00,Lille Centre,sur place,carte,non,Americano,Boisson chaude,1,2.8,0.0,2.8,,Léa,MORNING10
CS-0343,2026-02-09 18:40:00,Lille Gare,sur place,carte,non,Americano,Boisson chaude,1,2.8,0.0,2.8,,Nora,MORNING10
CS-0315,2026-02-10 11:15:00,Lille Centre,sur place,espèces,oui,Jus orange,Boisson froide,2,3.9,0.05,7.41,,Inès,
CS-0038,2026-02-10 13:35:00,Lomme,à emporter,carte,non,Banana bread,Pâtisserie,1,3.4,0.0,3.4,4.0,Samir,
CS-0109,2026-02-10 16:00:00,Lomme,à emporter,carte,non,Iced latte,Boisson froide,1,4.8,0.0,4.8,3.0,Inès,
CS-0356,2026-02-11 09:30:00,Lille Centre,à emporter,carte,oui,Latte,Boisson chaude,1,4.1,0.1,3.69,,Léa,
CS-0071,2026-02-11 10:15:00,Lille Gare,sur place,carte,oui,Croissant,Pâtisserie,1,2.1,0.0,2.1,5.0,Nora,
CS-0209,2026-02-11 10:45:00,Lomme,sur place,carte,non,Americano,Boisson chaude,1,2.8,0.0,2.8,,Inès,
CS-0255,2026-02-11 10:55:00,Lomme,à emporter,carte,non,Croissant,Pâtisserie,2,2.1,0.0,4.2,,Inès,
CS-0335,2026-02-11 11:00:00,Lille Centre,sur place,espèces,non,Banana bread,Pâtisserie,2,3.4,0.0,6.8,,Marco,
CS-0286,2026-02-11 11:40:00,Lille Centre,à emporter,carte,non,Muffin myrtille,Pâtisserie,2,3.2,0.0,6.4,5.0,Marco,
CS-0197,2026-02-11 18:00:00,Lomme,sur place,carte,oui,Cookie chocolat,Pâtisserie,1,2.9,0.0,2.9,,Léa,COOKIELOVE
CS-0188,2026-02-12 08:45:00,Lille Gare,sur place,carte,oui,Iced latte,Boisson froide,1,4.8,0.05,4.56,,Léa,
CS-0288,2026-02-12 09:30:00,Lille Centre,sur place,carte,non,Americano,Boisson chaude,1,2.8,0.0,2.8,,Samir,
CS-0203,2026-02-12 10:05:00,Lille Gare,à emporter,carte,non,Cappuccino,Boisson chaude,1,3.7,0.0,3.7,5.0,Léa,
CS-0245,2026-02-12 13:05:00,Lille Gare,à emporter,carte,non,Cappuccino,Boisson chaude,1,3.7,0.0,3.7,5.0,Marco,
CS-0334,2026-02-12 13:10:00,Lille Gare,sur place,carte,oui,Chai latte,Boisson chaude,2,4.3,0.0,8.6,,Marco,
CS-0206,2026-02-12 13:55:00,Lille Gare,à emporter,app,oui,Cappuccino,Boisson chaude,1,3.7,0.15,3.15,,Marco,
CS-0294,2026-02-13 10:10:00,Lille Gare,sur place,carte,oui,Croissant,Pâtisserie,1,2.1,0.0,2.1,5.0,Inès,
CS-0135,2026-02-13 13:05:00,Lille Centre,sur place,app,non,Toast avocat,Sandwich,1,7.5,0.0,7.5,4.0,Marco,
CS-0163,2026-02-13 16:55:00,Lomme,à emporter,carte,non,Latte,Boisson chaude,2,4.1,0.0,8.2,,Inès,
CS-0035,2026-02-14 16:40:00,Lille Centre,sur place,app,non,Espresso,Boisson chaude,2,2.2,0.0,4.4,,Marco,
CS-0270,2026-02-15 08:20:00,Lille Centre,sur place,carte,oui,Jus orange,Boisson froide,1,3.9,0.05,3.7,,Léa,
CS-0295,2026-02-15 09:25:00,Lille Gare,sur place,carte,oui,Cappuccino,Boisson chaude,1,3.7,0.0,3.7,,Léa,
CS-0050,2026-02-15 14:40:00,Lille Centre,à emporter,carte,non,Jus orange,Boisson froide,1,3.9,0.0,3.9,,Inès,
CS-0262,2026-02-16 09:10:00,Lille Centre,sur place,espèces,non,Croissant,Pâtisserie,1,2.1,0.0,2.1,5.0,Nora,
CS-0354,2026-02-16 12:15:00,Lille Centre,sur place,carte,non,Jus orange,Boisson froide,1,3.9,0.0,3.9,,Nora,
CS-0107,2026-02-17 17:20:00,Lille Centre,sur place,carte,non,Banana bread,Pâtisserie,1,3.4,0.0,3.4,4.0,Samir,
CS-0210,2026-02-17 17:20:00,Lille Centre,livraison,carte,oui,Bagel veggie,Sandwich,1,6.9,0.0,6.9,,Marco,
CS-0352,2026-02-18 13:10:00,Lille Centre,sur place,carte,non,Croissant,Pâtisserie,1,2.1,0.0,2.1,5.0,Samir,
CS-0194,2026-02-19 13:45:00,Lille Centre,livraison,carte,non,Thé vert,Boisson chaude,2,3.2,0.0,6.4,,Léa,
CS-0110,2026-02-19 17:10:00,Lille Centre,sur place,carte,non,Iced latte,Boisson froide,1,4.8,0.0,4.8,,Léa,MORNING10
CS-0019,2026-02-20 08:00:00,Lille Gare,livraison,espèces,oui,Jus orange,Boisson froide,1,3.9,0.05,3.7,3.0,Inès,
CS-0357,2026-02-20 09:50:00,Lomme,sur place,app,oui,Jus orange,Boisson froide,1,3.9,0.0,3.9,4.0,Nora,
CS-0227,2026-02-20 16:45:00,Lille Gare,sur place,carte,non,Latte,Boisson chaude,1,4.1,0.0,4.1,,Nora,
CS-0099,2026-02-21 08:10:00,Lille Gare,à emporter,espèces,non,Cappuccino,Boisson chaude,1,3.7,0.0,3.7,,Inès,
CS-0037,2026-02-21 10:35:00,Lomme,à emporter,carte,non,Bagel veggie,Sandwich,1,6.9,0.0,6.9,5.0,Nora,
CS-0181,2026-02-22 07:40:00,Lille Gare,sur place,carte,non,Cookie chocolat,Pâtisserie,1,2.9,0.0,2.9,5.0,Samir,
CS-0273,2026-02-22 11:50:00,Lomme,sur place,app,non,Espresso,Boisson chaude,1,2.2,0.0,2.2,4.0,Marco,
CS-0214,2026-02-22 13:00:00,Lille Centre,livraison,carte,non,Espresso,Boisson chaude,1,2.2,0.0,2.2,,Samir,
CS-0325,2026-02-23 08:35:00,Lille Centre,sur place,carte,oui,Latte,Boisson chaude,2,4.1,0.05,7.79,,Samir,COOKIELOVE
CS-0253,2026-02-23 12:50:00,Lille Gare,sur place,carte,oui,Latte,Boisson chaude,1,4.1,0.0,4.1,4.0,Inès,
CS-0247,2026-02-23 15:25:00,Lille Centre,à emporter,carte,non,Jus orange,Boisson froide,1,3.9,0.0,3.9,,Léa,MORNING10
CS-0340,2026-02-24 09:15:00,Lille Centre,à emporter,carte,oui,Iced latte,Boisson froide,1,4.8,0.15,4.08,,Nora,
CS-0242,2026-02-24 09:15:00,Lille Gare,à emporter,carte,oui,Cappuccino,Boisson chaude,1,3.7,0.0,3.7,,Marco,
CS-0308,2026-02-24 14:05:00,Lille Centre,sur place,espèces,oui,Croissant,Pâtisserie,1,2.1,0.05,1.99,5.0,Samir,
CS-0310,2026-02-24 14:20:00,Lille Centre,à emporter,espèces,non,Iced latte,Boisson froide,1,4.8,0.0,4.8,3.0,Léa,
CS-0254,2026-02-24 16:15:00,Lomme,à emporter,carte,oui,Latte,Boisson chaude,1,4.1,0.0,4.1,,Nora,
CS-0129,2026-02-25 07:25:00,Lille Gare,à emporter,carte,oui,Muffin myrtille,Pâtisserie,1,3.2,0.0,3.2,,Samir,COOKIELOVE
CS-0296,2026-02-25 12:05:00,Lille Centre,sur place,carte,non,Jus orange,Boisson froide,1,3.9,0.0,3.9,,Inès,MORNING10
CS-0186,2026-02-25 13:15:00,Lomme,à emporter,carte,oui,Bagel veggie,Sandwich,2,6.9,0.0,13.8,4.0,Marco,
CS-0068,2026-02-26 11:25:00,Lille Gare,sur place,carte,oui,Latte,Boisson chaude,2,4.1,0.0,8.2,,Inès,
CS-0187,2026-02-26 14:40:00,Lille Centre,à emporter,app,oui,Espresso,Boisson chaude,1,2.2,0.0,2.2,,Samir,
CS-0066,2026-02-27 07:00:00,Lille Gare,sur place,app,oui,Muffin myrtille,Pâtisserie,1,3.2,0.05,3.04,4.0,Léa,
CS-0246,2026-02-27 14:50:00,Lille Centre,sur place,carte,non,Latte,Boisson chaude,1,4.1,0.0,4.1,4.0,Samir,MORNING10
CS-0345,2026-02-28 08:15:00,Lille Gare,à emporter,carte,oui,Jus orange,Boisson froide,1,3.9,0.0,3.9,,Marco,
CS-0302,2026-02-28 15:10:00,Lille Gare,sur place,carte,oui,Cold brew,Boisson froide,1,4.5,0.0,4.5,,Marco,
CS-0283,2026-03-01 08:10:00,Lille Gare,sur place,app,oui,Cappuccino,Boisson chaude,1,3.7,0.0,3.7,,Léa,COOKIELOVE
CS-0228,2026-03-01 15:50:00,Lille Centre,à emporter,carte,oui,Cappuccino,Boisson chaude,1,3.7,0.0,3.7,,Samir,
CS-0249,2026-03-02 12:30:00,Lomme,sur place,espèces,oui,Muffin myrtille,Pâtisserie,2,3.2,0.0,6.4,4.0,Samir,
CS-0189,2026-03-03 07:45:00,Lille Gare,sur place,carte,oui,Jus orange,Boisson froide,2,3.9,0.0,7.8,4.0,Nora,COOKIELOVE
CS-0138,2026-03-03 08:20:00,Lille Centre,sur place,carte,oui,Americano,Boisson chaude,1,2.8,0.0,2.8,,Nora,
CS-0127,2026-03-03 11:25:00,Lille Centre,sur place,app,non,Espresso,Boisson chaude,1,2.2,0.0,2.2,,Marco,
CS-0155,2026-03-03 11:35:00,Lomme,à emporter,espèces,non,Americano,Boisson chaude,1,2.8,0.0,2.8,3.0,Inès,COOKIELOVE
CS-0169,2026-03-03 13:50:00,Lille Centre,à emporter,espèces,non,Latte,Boisson chaude,1,4.1,0.0,4.1,5.0,Léa,MORNING10
CS-0128,2026-03-03 15:00:00,Lille Centre,à emporter,app,oui,Espresso,Boisson chaude,1,2.2,0.0,2.2,5.0,Marco,
CS-0141,2026-03-03 16:05:00,Lomme,sur place,app,non,Banana bread,Pâtisserie,1,3.4,0.0,3.4,4.0,Marco,
CS-0114,2026-03-03 16:35:00,Lille Gare,sur place,carte,non,Iced latte,Boisson froide,2,4.8,0.0,9.6,,Léa,
CS-0062,2026-03-03 17:30:00,Lomme,sur place,carte,non,Toast avocat,Sandwich,1,7.5,0.0,7.5,,Nora,MORNING10
CS-0074,2026-03-04 09:10:00,Lille Centre,sur place,carte,oui,Chai latte,Boisson chaude,1,4.3,0.05,4.08,3.0,Samir,COOKIELOVE
CS-0297,2026-03-04 10:25:00,Lille Gare,sur place,app,non,Jus orange,Boisson froide,1,3.9,0.0,3.9,,Léa,
CS-0010,2026-03-04 10:55:00,Lomme,à emporter,espèces,non,Latte,Boisson chaude,1,4.1,0.0,4.1,5.0,Léa,
CS-0011,2026-03-05 10:10:00,Lille Centre,sur place,carte,non,Bagel veggie,Sandwich,1,6.9,0.0,6.9,4.0,Inès,
CS-0221,2026-03-05 12:55:00,Lille Centre,sur place,espèces,oui,Latte,Boisson chaude,2,4.1,0.0,8.2,4.0,Samir,
CS-0111,2026-03-05 15:20:00,Lille Centre,livraison,carte,non,Chai latte,Boisson chaude,1,4.3,0.0,4.3,,Samir,
CS-0268,2026-03-06 09:10:00,Lomme,sur place,carte,non,Banana bread,Pâtisserie,1,3.4,0.0,3.4,4.0,Inès,
CS-0201,2026-03-06 10:30:00,Lomme,sur place,carte,non,Latte,Boisson chaude,1,4.1,0.0,4.1,,Nora,
CS-0105,2026-03-06 11:15:00,Lille Centre,à emporter,carte,non,Cappuccino,Boisson chaude,2,3.7,0.0,7.4,,Inès,
CS-0161,2026-03-06 11:20:00,Lille Centre,sur place,carte,non,Americano,Boisson chaude,1,2.8,0.0,2.8,,Léa,
CS-0359,2026-03-07 08:00:00,Lille Gare,à emporter,app,non,Latte,Boisson chaude,1,4.1,0.0,4.1,,Léa,MORNING10
CS-0054,2026-03-07 08:40:00,Lomme,sur place,carte,non,Cappuccino,Boisson chaude,1,3.7,0.0,3.7,,Léa,
CS-0026,2026-03-07 09:05:00,Lille Centre,sur place,carte,non,Latte,Boisson chaude,1,4.1,0.0,4.1,,Samir,
CS-0058,2026-03-07 09:10:00,Lille Gare,sur place,carte,oui,Croissant,Pâtisserie,1,2.1,0.05,1.99,,Marco,
CS-0301,2026-03-07 09:35:00,Lille Centre,sur place,carte,non,Cookie chocolat,Pâtisserie,1,2.9,0.0,2.9,4.0,Inès,COOKIELOVE
CS-0332,2026-03-07 10:45:00,Lomme,sur place,carte,oui,Cappuccino,Boisson chaude,2,3.7,0.05,7.03,5.0,Léa,
CS-0207,2026-03-07 10:55:00,Lille Centre,livraison,carte,non,Croissant,Pâtisserie,1,2.1,0.0,2.1,5.0,Samir,COOKIELOVE
CS-0176,2026-03-07 12:55:00,Lille Centre,sur place,app,non,Cappuccino,Boisson chaude,1,3.7,0.0,3.7,,Marco,MORNING10
CS-0243,2026-03-07 15:35:00,Lille Gare,à emporter,carte,non,Cappuccino,Boisson chaude,1,3.7,0.0,3.7,,Léa,
CS-0024,2026-03-07 16:35:00,Lille Gare,sur place,app,non,Bagel veggie,Sandwich,1,6.9,0.0,6.9,5.0,Samir,COOKIELOVE
CS-0126,2026-03-08 07:40:00,Lomme,à emporter,carte,oui,Cold brew,Boisson froide,1,4.5,0.0,4.5,5.0,Nora,
CS-0276,2026-03-08 10:00:00,Lomme,à emporter,app,non,Cookie chocolat,Pâtisserie,2,2.9,0.0,5.8,4.0,Léa,
CS-0032,2026-03-08 14:00:00,Lille Centre,sur place,carte,oui,Cappuccino,Boisson chaude,2,3.7,0.0,7.4,5.0,Inès,
CS-0252,2026-03-09 07:25:00,Lille Gare,livraison,espèces,non,Americano,Boisson chaude,1,2.8,0.0,2.8,5.0,Marco,
CS-0173,2026-03-09 12:10:00,Lille Centre,livraison,carte,oui,Americano,Boisson chaude,1,2.8,0.05,2.66,,Samir,
CS-0328,2026-03-09 12:35:00,Lille Gare,sur place,carte,oui,Banana bread,Pâtisserie,1,3.4,0.0,3.4,5.0,Léa,
CS-0123,2026-03-10 08:55:00,Lille Gare,sur place,carte,non,Banana bread,Pâtisserie,1,3.4,0.0,3.4,,Léa,COOKIELOVE
CS-0196,2026-03-11 08:20:00,Lille Centre,sur place,app,non,Banana bread,Pâtisserie,1,3.4,0.0,3.4,,Samir,MORNING10
CS-0261,2026-03-11 09:50:00,Lomme,à emporter,carte,non,Croissant,Pâtisserie,1,2.1,0.0,2.1,4.0,Léa,MORNING10
CS-0337,2026-03-11 11:35:00,Lille Centre,à emporter,espèces,non,Chai latte,Boisson chaude,1,4.3,0.0,4.3,,Marco,COOKIELOVE
CS-0305,2026-03-11 12:50:00,Lille Gare,à emporter,espèces,non,Croissant,Pâtisserie,1,2.1,0.0,2.1,,Inès,COOKIELOVE
CS-0094,2026-03-11 13:40:00,Lille Centre,sur place,carte,oui,Bagel veggie,Sandwich,1,6.9,0.0,6.9,5.0,Marco,
